City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,uturoa,-16.7333,-151.4333,27.27,73,100,2.18,PF,1705896975
83,mount gambier,-37.8333,140.7667,22.02,41,39,5.44,AU,1705896892
84,harar,9.3094,42.1258,13.95,55,65,1.62,ET,1705896975
85,cockburn town,21.4612,-71.1419,24.67,78,30,12.44,TC,1705896977
86,georgetown,5.4112,100.3354,31.08,62,20,5.14,MY,1705896439
87,ushuaia,-54.8,-68.3,8.81,71,0,4.12,AR,1705896977
88,sitka,57.0531,-135.33,2.94,87,100,5.14,US,1705896978
89,tralee,52.2704,-9.7026,7.11,79,52,10.08,IE,1705896978
90,bu'aale,1.0833,42.5833,24.54,67,9,4.84,SO,1705896978
91,anadyr,64.75,177.4833,-13.72,85,100,1.0,RU,1705896176
92,port blair,11.6667,92.75,28.02,61,30,4.12,IN,1705896397
93,bandarbeyla,9.4942,50.8122,24.77,69,91,9.8,SO,1705896888
94,katsuura,35.1333,140.3,13.23,65,95,4.22,JP,1705896980
95,thompson,55.7435,-97.8558,-18.91,78,20,3.09,CA,1705896980
96,priargunsk,50.3691,119.1012,-30.01,94,91,1.43,RU,1705896981
97,saipan,15.1355,145.701,28.39,61,75,6.69,MP,1705896917
98,thunder bay,48.4001,-89.3168,-3.01,63,100,2.57,CA,1705896982
99,dudinka,69.4058,86.1778,-10.21,96,100,3.38,RU,1705896982
100,colonia,50.9333,6.95,10.33,80,100,8.75,DE,1705896983
101,lerwick,60.1545,-1.1494,8.0,90,100,12.07,GB,1705896983
102,lesnoy,57.6198,63.0784,-6.21,91,100,5.62,RU,1705896984
103,wittlich,49.9833,6.8833,7.12,83,100,11.32,DE,1705896984
104,jabor,5.921,169.6434,27.44,84,30,8.76,MH,1705896985
105,invercargill,-46.4,168.35,22.79,69,76,2.68,NZ,1705896747
106,kanash,55.5086,47.4956,-25.38,100,44,3.16,RU,1705896731
107,whitehorse,60.7161,-135.0538,-21.5,74,100,1.54,CA,1705896986
108,teotitlan,18.1319,-97.0767,17.04,96,100,1.28,MX,1705896986
109,northam,51.0333,-4.2167,10.92,89,98,11.12,GB,1705896987
110,ust-nera,64.5667,143.2,-39.56,98,95,3.31,RU,1705896987
111,ilulissat,69.2167,-51.1,-12.99,72,100,10.8,GL,1705896988
112,sinop,41.7711,34.8709,-3.32,92,96,1.91,TR,1705896988
113,weno,7.4515,151.8468,27.97,89,100,3.6,FM,1705896989
114,sept-iles,50.2001,-66.3821,-13.0,63,0,5.14,CA,1705896989
115,dalbandin,28.8947,64.4101,13.26,30,0,0.48,PK,1705896991
116,greymouth,-42.4667,171.2,20.45,75,72,2.82,NZ,1705896713
